Date,Time,Type,Amount
2025-04-01,10:19:19,BET,2222.00
2025-04-01,10:19:19,BET,2222.00
2025-04-01,10:22:58,DEPOSIT,12352.00
2025-04-01,10:26:19,BET,7.00
2025-04-01,10:26:19,BET,789.00
2025-04-01,10:27:07,BET,22.00
2025-04-01,10:27:07,BET,33.00
2025-04-01,10:28:59,BET,22.00
2025-04-01,10:28:59,BET,3333.00
2025-04-01,10:30:58,BET,5.00
2025-04-01,10:30:58,BET,234.00
2025-04-01,10:33:10,BET,34.00
2025-04-01,10:33:10,BET,35.00
2025-04-01,10:33:13,WIN,102.00
2025-04-01,10:33:13,WIN,102.00
2025-04-01,15:24:28,BET,22.00
2025-04-01,15:24:28,BET,777.00
2025-04-01,15:24:30,WIN,2331.00
2025-04-01,15:24:30,WIN,2331.00
2025-04-01,10:19:19,BET,2222.00
2025-04-01,10:19:19,BET,2222.00
2025-04-01,10:22:58,DEPOSIT,12352.00
2025-04-01,10:26:19,BET,7.00
2025-04-01,10:26:19,BET,789.00
2025-04-01,10:27:07,BET,22.00
2025-04-01,10:27:07,BET,33.00
2025-04-01,10:28:59,BET,22.00
2025-04-01,10:28:59,BET,3333.00
2025-04-01,10:30:58,BET,5.00
2025-04-01,10:30:58,BET,234.00
2025-04-01,10:33:10,BET,34.00
2025-04-01,10:33:10,BET,35.00
2025-04-01,10:33:13,WIN,102.00
2025-04-01,10:33:13,WIN,102.00
2025-04-01,15:32:47,DEPOSIT,9999999.00
2025-04-01,16:08:55,BET,44.00
2025-04-01,16:15:23,BET,1.00
2025-04-01,16:21:46,BET,2.00
2025-04-01,16:22:37,BET,2.00
2025-04-01,16:42:15,BET,3333.00
2025-04-01,16:42:15,BET,777777.00
2025-04-01,17:10:41,BET,2.00
2025-04-01,17:11:02,BET,2.00
2025-04-01,17:13:31,BET,2.00
2025-04-01,17:13:31,BET,7777.00
2025-04-01,17:14:04,BET,66.00
2025-04-01,17:14:22,BET,66.00
2025-04-01,17:29:30,BET,1.00
2025-04-01,17:32:35,BET,1.00
2025-04-01,17:37:07,BET,1.00
2025-04-01,17:38:53,BET,333.00
2025-04-01,17:40:10,BET,555.00
2025-04-01,17:42:29,BET,444.00
2025-04-01,17:43:27,BET,5.00
2025-04-01,17:45:16,BET,666.00
2025-04-01,17:47:29,BET,555.00
2025-04-01,17:49:50,BET,555.00
2025-04-01,17:51:11,BET,44444.00
2025-04-01,17:51:36,BET,44444.00
2025-04-01,17:55:10,BET,44.00
2025-04-04,19:13:40,BET,5.00
